,categories,f1,precision,recall,support
related-,related-,0.8748830682881198,0.9359519639729798,0.8212952799121844,4555.0
request-,request-,0.5356339084771192,0.4033898305084746,0.796875,448.0
offer-,offer-,0.0,0.0,0.0,0.0
aid_related-,aid_related-,0.5903749300503638,0.48550391164289003,0.7530335474660956,1401.0
medical_help-,medical_help-,0.07809110629067245,0.041379310344827586,0.6923076923076923,26.0
medical_products-,medical_products-,0.17869415807560138,0.09923664122137404,0.896551724137931,29.0
search_and_rescue-,search_and_rescue-,0.14084507042253522,0.07633587786259542,0.9090909090909091,11.0
security-,security-,0.0,0.0,0.0,1.0
military-,military-,0.11374407582938387,0.06382978723404255,0.5217391304347826,23.0
child_alone-,child_alone-,0.0,0.0,0.0,0.0
water-,water-,0.44543429844098,0.3076923076923077,0.8064516129032258,124.0
food-,food-,0.6295907660020986,0.5119453924914675,0.8174386920980926,367.0
shelter-,shelter-,0.4367088607594936,0.296137339055794,0.8313253012048193,166.0
clothing-,clothing-,0.10101010101010101,0.053763440860215055,0.8333333333333334,6.0
money-,money-,0.09677419354838708,0.05263157894736842,0.6,10.0
missing_people-,missing_people-,0.0,0.0,0.0,1.0
refugees-,refugees-,0.15555555555555553,0.08695652173913043,0.7368421052631579,19.0
death-,death-,0.2928571428571428,0.1774891774891775,0.8367346938775511,49.0
other_aid-,other_aid-,0.06415620641562064,0.0343796711509716,0.4791666666666667,48.0
infrastructure_related-,infrastructure_related-,0.02469135802469136,0.012578616352201259,0.6666666666666666,6.0
transport-,transport-,0.14960629921259844,0.08189655172413793,0.8636363636363636,22.0
buildings-,buildings-,0.1708860759493671,0.09642857142857143,0.75,36.0
electricity-,electricity-,0.05555555555555555,0.03,0.375,8.0
tools-,tools-,0.0,0.0,0.0,1.0
hospitals-,hospitals-,0.0,0.0,0.0,1.0
shops-,shops-,0.0,0.0,0.0,0.0
aid_centers-,aid_centers-,0.0,0.0,0.0,0.0
other_infrastructure-,other_infrastructure-,0.028846153846153848,0.014634146341463415,1.0,3.0
weather_related-,weather_related-,0.6194852941176471,0.48419540229885055,0.8596938775510204,784.0
floods-,floods-,0.5118644067796609,0.3595238095238095,0.888235294117647,170.0
storm-,storm-,0.46808510638297873,0.3276595744680851,0.8191489361702128,188.0
fire-,fire-,0.037037037037037035,0.019230769230769232,0.5,2.0
earthquake-,earthquake-,0.7768187422934649,0.6847826086956522,0.8974358974358975,351.0
cold-,cold-,0.05084745762711864,0.028037383177570093,0.2727272727272727,11.0
other_weather-,other_weather-,0.08602150537634409,0.04743083003952569,0.46153846153846156,26.0
direct_report-,direct_report-,0.4965893587994543,0.35968379446640314,0.801762114537445,454.0
micro avg,micro avg,0.5894343732980627,0.46310899199217553,0.8105274419599872,9347.0
macro avg,macro avg,0.22807466091736797,0.17146402249890713,0.569111960363262,9347.0
weighted avg,weighted avg,0.7078310083168101,0.6774016449007428,0.8105274419599872,9347.0
samples avg,samples avg,0.4825615587090001,0.4397167544133825,0.6704003365902679,9347.0
